BioMASSver                             0.22
date                             2013/12/18
hour                               11:56:05
biomass.model.physiology.Plankton2
Generic                       
Plankton                      
longevity                             36499
linf                                 0.0000
t0                                   0.0000
k                                    0.5000
a                                    0.0000
b                                    0.0000
newborn_orgs                            400
pop_deathrate                        0.0007
rep_cycle                             18250
age_classes                               2
                         steps       orgs00        hid00     killed00    starved00   leanmass00    fatmass00   killmass00  starvemas00       orgs01        hid01     killed01    starved01   leanmass01    fatmass01   killmass01  starvemas01
                        604800          400            0            0            0   56967.5468   26808.2573 1025301.8490       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        608400          400            0            0            0   56967.5468   26808.2573 1038356.6506       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        612000          400            0            0            0   56967.5468   26808.2573 1038356.6506       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        615600          400            0            0            0   56967.5468   26808.2573 1051344.3831       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        619200          400            0            0            0   56967.5468   26808.2573 1051344.3831       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        622800          400            0            0            0   56967.4655   26808.2191 1064200.8347       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        626400          400            0            0            0   56967.5468   26808.2573 1064200.8347       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        630000          400            0            0            0   56967.5468   26808.2573 1064200.8347       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        633600          400            0            0            0   56967.5468   26808.2573 1077636.8175       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        637200          400            0            0            0   56967.5468   26808.2573 1077636.8175       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        640800          400            0            0            0   56967.5468   26808.2573 1090989.9198       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        644400          400            0            0            0   56967.5468   26808.2573 1090989.9198       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        648000          400            0            0            0   56967.5468   26808.2573 1090989.9198       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        651600          400            0            0            0   56967.5468   26808.2573 1105353.1100       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        655200          400            0            0            0   56967.5468   26808.2573 1105353.1100       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        658800          400            0            0            0   56967.5468   26808.2573 1119936.9917       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        662400          400            0            0            0   56967.5468   26808.2573 1119936.9917       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        666000          400            0            0            0   56967.4802   26808.2260 1134802.9980       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
